2026-07-06 17:30:10,921	WARNING utils.py:458 -- Detecting docker specified CPUs. In previous versions of Ray, CPU detection in containers was incorrect. Please ensure that Ray has enough CPUs allocated. As a temporary workaround to revert to the prior behavior, set `RAY_USE_MULTIPROCESSING_CPU_COUNT=1` as an env var before starting Ray. Set the env var: `RAY_DISABLE_DOCKER_CPU_WARNING=1` to mute this warning.
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.1333333333333333
[36m(TaskRunner pid=7621)[0m step:5 - global_seqlen/min:21800.000 - global_seqlen/max:21800.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:21800.000 - global_seqlen/balanced_max:21800.000 - global_seqlen/mean:21800.000 - actor/entropy_loss:0.684 - training/rollout_probs_diff_max:0.185 - training/rollout_probs_diff_mean:0.006 - training/rollout_probs_diff_std:0.013 - actor/kl_loss:0.002 - actor/kl_coef:0.001 - actor/pg_loss:0.001 - actor/pg_clipfrac:0.004 - actor/ppo_kl:0.001 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.845 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.429 - actor/lr:0.000 - training/global_step:5.000 - training/epoch:0.000 - critic/score/mean:0.438 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.438 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:-0.120 - critic/advantages/max:2.964 - critic/advantages/min:-1.935 - critic/returns/mean:-0.120 - critic/returns/max:2.964 - critic/returns/min:-1.935 - response_length/mean:147.281 - response_length/max:384.000 - response_length/min:49.000 - response_length/clip_ratio:0.062 - prompt_length/mean:533.969 - prompt_length/max:1339.000 - prompt_length/min:185.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.438 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.000 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.000 - episode/success_rate:0.438 - episode/hotpotqa_success_rate:0.250 - episode/nq_success_rate:0.625 - timing_s/gen:40.245 - timing_s/reward:0.025 - timing_s/old_log_prob:6.626 - timing_s/ref:4.076 - timing_s/adv:0.166 - timing_s/update_actor:26.376 - timing_s/step:77.521 - timing_per_token_ms/gen:8.539 - timing_per_token_ms/update_actor:1.210 - timing_per_token_ms/adv:0.008 - timing_per_token_ms/ref:0.187 - perf/total_num_tokens:21800.000 - perf/time_per_step:77.521 - perf/throughput:281.214
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 1.85
[36m(TaskRunner pid=7621)[0m Training Progress:   2%|▏         | 6/300 [07:57<6:44:33, 82.56s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   2%|▏         | 7/300 [09:09<6:26:18, 79.11s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   3%|▎         | 8/300 [10:39<6:41:19, 82.46s/it]
[36m(TaskRunner pid=7621)[0m step:6 - global_seqlen/min:30540.000 - global_seqlen/max:30540.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:30540.000 - global_seqlen/balanced_max:30540.000 - global_seqlen/mean:30540.000 - actor/entropy_loss:0.876 - training/rollout_probs_diff_max:0.342 - training/rollout_probs_diff_mean:0.007 - training/rollout_probs_diff_std:0.013 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:0.000 - actor/pg_clipfrac:0.000 - actor/ppo_kl:-0.000 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.178 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.084 - actor/lr:0.000 - training/global_step:6.000 - training/epoch:0.000 - critic/score/mean:0.054 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.054 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:0.103 - critic/advantages/max:3.120 - critic/advantages/min:-1.040 - critic/returns/mean:0.103 - critic/returns/max:3.120 - critic/returns/min:-1.040 - response_length/mean:162.784 - response_length/max:384.000 - response_length/min:75.000 - response_length/clip_ratio:0.054 - prompt_length/mean:662.622 - prompt_length/max:1487.000 - prompt_length/min:187.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.062 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.312 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.312 - episode/success_rate:0.062 - episode/hotpotqa_success_rate:0.083 - episode/nq_success_rate:0.000 - timing_s/gen:45.715 - timing_s/reward:0.009 - timing_s/old_log_prob:7.714 - timing_s/ref:4.693 - timing_s/adv:0.141 - timing_s/update_actor:30.466 - timing_s/step:88.742 - timing_per_token_ms/gen:7.590 - timing_per_token_ms/update_actor:0.998 - timing_per_token_ms/adv:0.005 - timing_per_token_ms/ref:0.154 - perf/total_num_tokens:30540.000 - perf/time_per_step:88.742 - perf/throughput:344.146
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 1.7272727272727273
[36m(TaskRunner pid=7621)[0m step:7 - global_seqlen/min:29719.000 - global_seqlen/max:29719.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:29719.000 - global_seqlen/balanced_max:29719.000 - global_seqlen/mean:29719.000 - actor/entropy_loss:0.739 - training/rollout_probs_diff_max:0.358 - training/rollout_probs_diff_mean:0.007 - training/rollout_probs_diff_std:0.014 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:0.000 - actor/pg_clipfrac:0.000 - actor/ppo_kl:0.000 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.460 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.465 - actor/lr:0.000 - training/global_step:7.000 - training/epoch:0.000 - critic/score/mean:0.316 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.316 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:-0.031 - critic/advantages/max:1.512 - critic/advantages/min:-2.157 - critic/returns/mean:-0.031 - critic/returns/max:1.512 - critic/returns/min:-2.157 - response_length/mean:126.947 - response_length/max:229.000 - response_length/min:63.000 - response_length/clip_ratio:0.000 - prompt_length/mean:655.132 - prompt_length/max:1457.000 - prompt_length/min:184.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.375 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.375 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.375 - episode/success_rate:0.375 - episode/nq_success_rate:0.250 - episode/hotpotqa_success_rate:0.500 - timing_s/gen:27.065 - timing_s/reward:0.031 - timing_s/old_log_prob:7.772 - timing_s/ref:4.845 - timing_s/adv:0.247 - timing_s/update_actor:32.025 - timing_s/step:71.993 - timing_per_token_ms/gen:5.611 - timing_per_token_ms/update_actor:1.078 - timing_per_token_ms/adv:0.008 - timing_per_token_ms/ref:0.163 - perf/total_num_tokens:29719.000 - perf/time_per_step:71.993 - perf/throughput:412.806
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.0
[36m(TaskRunner pid=7621)[0m step:8 - global_seqlen/min:36699.000 - global_seqlen/max:36699.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:36699.000 - global_seqlen/balanced_max:36699.000 - global_seqlen/mean:36699.000 - actor/entropy_loss:0.735 - training/rollout_probs_diff_max:0.185 - training/rollout_probs_diff_mean:0.007 - training/rollout_probs_diff_std:0.012 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:0.000 - actor/pg_clipfrac:0.000 - actor/ppo_kl:-0.000 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.000 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.519 - actor/lr:0.000 - training/global_step:8.000 - training/epoch:0.000 - critic/score/mean:0.000 - critic/score/max:0.000 - critic/score/min:0.000 - critic/rewards/mean:0.000 - critic/rewards/max:0.000 - critic/rewards/min:0.000 - critic/advantages/mean:0.000 - critic/advantages/max:0.000 - critic/advantages/min:0.000 - critic/returns/mean:0.000 - critic/returns/max:0.000 - critic/returns/min:0.000 - response_length/mean:140.159 - response_length/max:384.000 - response_length/min:51.000 - response_length/clip_ratio:0.023 - prompt_length/mean:693.909 - prompt_length/max:1435.000 - prompt_length/min:185.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.000 - episode/reward/max:0.000 - episode/reward/min:0.000 - episode/length/mean:2.750 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.750 - episode/success_rate:0.000 - episode/hotpotqa_success_rate:0.000 - episode/nq_success_rate:0.000 - timing_s/gen:38.088 - timing_s/reward:0.038 - timing_s/old_log_prob:8.993 - timing_s/ref:5.576 - timing_s/adv:0.268 - timing_s/update_actor:36.670 - timing_s/step:89.644 - timing_per_token_ms/gen:6.176 - timing_per_token_ms/update_actor:0.999 - timing_per_token_ms/adv:0.007 - timing_per_token_ms/ref:0.152 - perf/total_num_tokens:36699.000 - perf/time_per_step:89.644 - perf/throughput:409.387
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.357142857142857
[36m(TaskRunner pid=7621)[0m Training Progress:   3%|▎         | 9/300 [12:01<6:40:30, 82.58s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   3%|▎         | 10/300 [13:19<6:31:31, 81.01s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   4%|▎         | 11/300 [14:54<6:51:15, 85.38s/it]
[36m(TaskRunner pid=7621)[0m step:9 - global_seqlen/min:24904.000 - global_seqlen/max:24904.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:24904.000 - global_seqlen/balanced_max:24904.000 - global_seqlen/mean:24904.000 - actor/entropy_loss:0.782 - training/rollout_probs_diff_max:0.195 - training/rollout_probs_diff_mean:0.007 - training/rollout_probs_diff_std:0.013 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:0.000 - actor/pg_clipfrac:0.001 - actor/ppo_kl:-0.002 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.308 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:65.728 - actor/lr:0.000 - training/global_step:9.000 - training/epoch:0.000 - critic/score/mean:0.091 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.091 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:-0.019 - critic/advantages/max:2.949 - critic/advantages/min:-1.328 - critic/returns/mean:-0.019 - critic/returns/max:2.949 - critic/returns/min:-1.328 - response_length/mean:153.121 - response_length/max:384.000 - response_length/min:70.000 - response_length/clip_ratio:0.030 - prompt_length/mean:601.545 - prompt_length/max:1537.000 - prompt_length/min:184.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.062 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.062 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.062 - episode/success_rate:0.062 - episode/nq_success_rate:0.000 - episode/hotpotqa_success_rate:0.250 - timing_s/gen:44.339 - timing_s/reward:0.027 - timing_s/old_log_prob:6.746 - timing_s/ref:4.191 - timing_s/adv:0.191 - timing_s/update_actor:27.316 - timing_s/step:82.817 - timing_per_token_ms/gen:8.775 - timing_per_token_ms/update_actor:1.097 - timing_per_token_ms/adv:0.008 - timing_per_token_ms/ref:0.168 - perf/total_num_tokens:24904.000 - perf/time_per_step:82.817 - perf/throughput:300.712
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.2222222222222223
[36m(TaskRunner pid=7621)[0m step:10 - global_seqlen/min:33055.000 - global_seqlen/max:33055.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:33055.000 - global_seqlen/balanced_max:33055.000 - global_seqlen/mean:33055.000 - actor/entropy_loss:0.745 - training/rollout_probs_diff_max:0.215 - training/rollout_probs_diff_mean:0.007 - training/rollout_probs_diff_std:0.013 - actor/kl_loss:0.002 - actor/kl_coef:0.001 - actor/pg_loss:-0.000 - actor/pg_clipfrac:0.000 - actor/ppo_kl:0.001 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.359 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.489 - actor/lr:0.000 - training/global_step:10.000 - training/epoch:0.000 - critic/score/mean:0.075 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.075 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:0.025 - critic/advantages/max:3.158 - critic/advantages/min:-1.130 - critic/returns/mean:0.025 - critic/returns/max:3.158 - critic/returns/min:-1.130 - response_length/mean:134.125 - response_length/max:267.000 - response_length/min:49.000 - response_length/clip_ratio:0.000 - prompt_length/mean:692.250 - prompt_length/max:1381.000 - prompt_length/min:183.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.062 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.500 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.500 - episode/success_rate:0.062 - episode/nq_success_rate:0.000 - episode/hotpotqa_success_rate:0.250 - timing_s/gen:30.958 - timing_s/reward:0.034 - timing_s/old_log_prob:8.193 - timing_s/ref:5.074 - timing_s/adv:0.226 - timing_s/update_actor:32.987 - timing_s/step:77.481 - timing_per_token_ms/gen:5.770 - timing_per_token_ms/update_actor:0.998 - timing_per_token_ms/adv:0.007 - timing_per_token_ms/ref:0.154 - perf/total_num_tokens:33055.000 - perf/time_per_step:77.481 - perf/throughput:426.620
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 1.826086956521739
[36m(TaskRunner pid=7621)[0m step:11 - global_seqlen/min:35846.000 - global_seqlen/max:35846.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:35846.000 - global_seqlen/balanced_max:35846.000 - global_seqlen/mean:35846.000 - actor/entropy_loss:0.835 - training/rollout_probs_diff_max:0.241 - training/rollout_probs_diff_mean:0.007 - training/rollout_probs_diff_std:0.013 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:-0.000 - actor/pg_clipfrac:0.001 - actor/ppo_kl:-0.000 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.586 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.317 - actor/lr:0.000 - training/global_step:11.000 - training/epoch:0.000 - critic/score/mean:0.119 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.119 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:0.037 - critic/advantages/max:3.158 - critic/advantages/min:-1.406 - critic/returns/mean:0.037 - critic/returns/max:3.158 - critic/returns/min:-1.406 - response_length/mean:150.690 - response_length/max:373.000 - response_length/min:85.000 - response_length/clip_ratio:0.000 - prompt_length/mean:702.786 - prompt_length/max:1430.000 - prompt_length/min:183.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.188 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.625 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.625 - episode/success_rate:0.188 - episode/hotpotqa_success_rate:0.125 - episode/nq_success_rate:0.250 - timing_s/gen:46.032 - timing_s/reward:0.010 - timing_s/old_log_prob:8.671 - timing_s/ref:5.324 - timing_s/adv:0.190 - timing_s/update_actor:35.065 - timing_s/step:95.295 - timing_per_token_ms/gen:7.273 - timing_per_token_ms/update_actor:0.978 - timing_per_token_ms/adv:0.005 - timing_per_token_ms/ref:0.149 - perf/total_num_tokens:35846.000 - perf/time_per_step:95.295 - perf/throughput:376.160
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.066666666666667
[36m(TaskRunner pid=7621)[0m Training Progress:   4%|▍         | 12/300 [16:17<6:45:40, 84.52s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   4%|▍         | 13/300 [17:39<6:40:43, 83.77s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   5%|▍         | 14/300 [19:23<7:09:12, 90.05s/it]
[36m(TaskRunner pid=7621)[0m step:12 - global_seqlen/min:21613.000 - global_seqlen/max:21613.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:21613.000 - global_seqlen/balanced_max:21613.000 - global_seqlen/mean:21613.000 - actor/entropy_loss:0.702 - training/rollout_probs_diff_max:0.213 - training/rollout_probs_diff_mean:0.006 - training/rollout_probs_diff_std:0.013 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:0.000 - actor/pg_clipfrac:0.000 - actor/ppo_kl:-0.000 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.000 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.676 - actor/lr:0.000 - training/global_step:12.000 - training/epoch:0.000 - critic/score/mean:0.000 - critic/score/max:0.000 - critic/score/min:0.000 - critic/rewards/mean:0.000 - critic/rewards/max:0.000 - critic/rewards/min:0.000 - critic/advantages/mean:0.000 - critic/advantages/max:0.000 - critic/advantages/min:0.000 - critic/returns/mean:0.000 - critic/returns/max:0.000 - critic/returns/min:0.000 - response_length/mean:161.774 - response_length/max:384.000 - response_length/min:64.000 - response_length/clip_ratio:0.097 - prompt_length/mean:535.419 - prompt_length/max:1320.000 - prompt_length/min:185.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.000 - episode/reward/max:0.000 - episode/reward/min:0.000 - episode/length/mean:1.938 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:0.938 - episode/success_rate:0.000 - episode/hotpotqa_success_rate:0.000 - episode/nq_success_rate:0.000 - timing_s/gen:46.241 - timing_s/reward:0.024 - timing_s/old_log_prob:6.632 - timing_s/ref:3.967 - timing_s/adv:0.189 - timing_s/update_actor:25.466 - timing_s/step:82.528 - timing_per_token_ms/gen:9.220 - timing_per_token_ms/update_actor:1.178 - timing_per_token_ms/adv:0.009 - timing_per_token_ms/ref:0.184 - perf/total_num_tokens:21613.000 - perf/time_per_step:82.528 - perf/throughput:261.886
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.5833333333333335
[36m(TaskRunner pid=7621)[0m step:13 - global_seqlen/min:22008.000 - global_seqlen/max:22008.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:22008.000 - global_seqlen/balanced_max:22008.000 - global_seqlen/mean:22008.000 - actor/entropy_loss:0.887 - training/rollout_probs_diff_max:0.195 - training/rollout_probs_diff_mean:0.007 - training/rollout_probs_diff_std:0.012 - actor/kl_loss:0.002 - actor/kl_coef:0.001 - actor/pg_loss:0.000 - actor/pg_clipfrac:0.001 - actor/ppo_kl:0.000 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.327 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:55.606 - actor/lr:0.000 - training/global_step:13.000 - training/epoch:0.000 - critic/score/mean:0.161 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.161 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:-0.039 - critic/advantages/max:1.495 - critic/advantages/min:-2.329 - critic/returns/mean:-0.039 - critic/returns/max:1.495 - critic/returns/min:-2.329 - response_length/mean:165.129 - response_length/max:384.000 - response_length/min:68.000 - response_length/clip_ratio:0.065 - prompt_length/mean:544.806 - prompt_length/max:1409.000 - prompt_length/min:186.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.125 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:1.938 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:0.938 - episode/success_rate:0.125 - episode/nq_success_rate:0.000 - episode/hotpotqa_success_rate:0.250 - timing_s/gen:45.780 - timing_s/reward:0.030 - timing_s/old_log_prob:6.459 - timing_s/ref:3.937 - timing_s/adv:0.143 - timing_s/update_actor:25.700 - timing_s/step:82.056 - timing_per_token_ms/gen:8.943 - timing_per_token_ms/update_actor:1.168 - timing_per_token_ms/adv:0.006 - timing_per_token_ms/ref:0.179 - perf/total_num_tokens:22008.000 - perf/time_per_step:82.056 - perf/throughput:268.208
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.5555555555555554
[36m(TaskRunner pid=7621)[0m step:14 - global_seqlen/min:40290.000 - global_seqlen/max:40290.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:40290.000 - global_seqlen/balanced_max:40290.000 - global_seqlen/mean:40290.000 - actor/entropy_loss:0.906 - training/rollout_probs_diff_max:0.436 - training/rollout_probs_diff_mean:0.006 - training/rollout_probs_diff_std:0.013 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:-0.000 - actor/pg_clipfrac:0.000 - actor/ppo_kl:-0.000 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.288 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:57.061 - actor/lr:0.000 - training/global_step:14.000 - training/epoch:0.000 - critic/score/mean:0.152 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.152 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:-0.083 - critic/advantages/max:1.242 - critic/advantages/min:-2.947 - critic/returns/mean:-0.083 - critic/returns/max:1.242 - critic/returns/min:-2.947 - response_length/mean:171.891 - response_length/max:384.000 - response_length/min:64.000 - response_length/clip_ratio:0.065 - prompt_length/mean:703.978 - prompt_length/max:1318.000 - prompt_length/min:184.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.188 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.875 - episode/length/max:3.000 - episode/length/min:2.000 - episode/tool_call_count/mean:1.875 - episode/success_rate:0.188 - episode/nq_success_rate:0.000 - episode/hotpotqa_success_rate:0.375 - timing_s/gen:50.604 - timing_s/reward:0.011 - timing_s/old_log_prob:9.528 - timing_s/ref:5.841 - timing_s/adv:0.230 - timing_s/update_actor:38.314 - timing_s/step:104.532 - timing_per_token_ms/gen:6.400 - timing_per_token_ms/update_actor:0.951 - timing_per_token_ms/adv:0.006 - timing_per_token_ms/ref:0.145 - perf/total_num_tokens:40290.000 - perf/time_per_step:104.532 - perf/throughput:385.433
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.25
[36m(TaskRunner pid=7621)[0m Training Progress:   5%|▌         | 15/300 [20:54<7:09:19, 90.38s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   5%|▌         | 16/300 [22:23<7:04:51, 89.76s/it]
[36m(TaskRunner pid=7621)[0m Training Progress:   6%|▌         | 17/300 [23:54<7:05:48, 90.28s/it]
[36m(TaskRunner pid=7621)[0m step:15 - global_seqlen/min:28005.000 - global_seqlen/max:28005.000 - global_seqlen/minmax_diff:0.000 - global_seqlen/balanced_min:28005.000 - global_seqlen/balanced_max:28005.000 - global_seqlen/mean:28005.000 - actor/entropy_loss:0.727 - training/rollout_probs_diff_max:0.229 - training/rollout_probs_diff_mean:0.006 - training/rollout_probs_diff_std:0.012 - actor/kl_loss:0.001 - actor/kl_coef:0.001 - actor/pg_loss:-0.000 - actor/pg_clipfrac:0.001 - actor/ppo_kl:0.001 - actor/pg_clipfrac_lower:0.000 - actor/grad_norm:0.438 - perf/mfu/actor:0.000 - perf/max_memory_allocated_gb:35.261 - perf/max_memory_reserved_gb:35.488 - perf/cpu_memory_used_gb:72.091 - actor/lr:0.000 - training/global_step:15.000 - training/epoch:0.000 - critic/score/mean:0.028 - critic/score/max:1.000 - critic/score/min:0.000 - critic/rewards/mean:0.028 - critic/rewards/max:1.000 - critic/rewards/min:0.000 - critic/advantages/mean:-0.034 - critic/advantages/max:4.346 - critic/advantages/min:-0.816 - critic/returns/mean:-0.034 - critic/returns/max:4.346 - critic/returns/min:-0.816 - response_length/mean:168.028 - response_length/max:384.000 - response_length/min:60.000 - response_length/clip_ratio:0.056 - prompt_length/mean:609.889 - prompt_length/max:1465.000 - prompt_length/min:183.000 - prompt_length/clip_ratio:0.000 - episode/reward/mean:0.062 - episode/reward/max:1.000 - episode/reward/min:0.000 - episode/length/mean:2.250 - episode/length/max:3.000 - episode/length/min:1.000 - episode/tool_call_count/mean:1.250 - episode/success_rate:0.062 - episode/nq_success_rate:0.125 - episode/hotpotqa_success_rate:0.000 - timing_s/gen:48.857 - timing_s/reward:0.028 - timing_s/old_log_prob:7.557 - timing_s/ref:4.569 - timing_s/adv:0.174 - timing_s/update_actor:29.973 - timing_s/step:91.168 - timing_per_token_ms/gen:8.077 - timing_per_token_ms/update_actor:1.070 - timing_per_token_ms/adv:0.006 - timing_per_token_ms/ref:0.163 - perf/total_num_tokens:28005.000 - perf/time_per_step:91.168 - perf/throughput:307.181
[36m(TaskRunner pid=7621)[0m list(reward_extra_infos_dict.keys())=[]
[36m(TaskRunner pid=7621)[0m Avg size of step-level group: 2.3
